MonasteryID,Name,Era,Description,ImageURL,Latitude,Longitude,VirtualTourURL,OverviewText,NarrationAudioURL
101,Rumtek Monastery,16th Century,"The largest monastery in Sikkim, it is the seat of the Karmapa Lama.","https://www.karmapa.org/wp-content/uploads/Rumtek_Monastery_-_Inside_Close_View-1400px-cropped.jpg",27.2882,88.5714,"http://googleusercontent.com/maps.google.com/c","Known as the Dharmachakra Centre, Rumtek is a stunning example of Tibetan Buddhist architecture. It houses some of the world's most unique religious scriptures and art objects.",audio/rumtek.mp3
102,Pemayangtse Monastery,18th Century,"One of the oldest and most important monasteries in Sikkim, known for its intricate wooden sculptures.","https://upload.wikimedia.org/wikipedia/commons/2/2e/Pemayangtse_Monastery_Sikkim_India.jpg",27.3015,88.2530,"http://googleusercontent.com/maps.google.com/d","Founded in 1705, Pemayangtse translates to 'Perfect Sublime Lotus'. It is affiliated with the Nyingma school of Tibetan Buddhism and offers breathtaking views of Mount Khangchendzonga.",audio/pemayangtse.mp3
103,Tashiding Monastery,17th Century,"Considered one of the holiest monasteries in Sikkim, located on a heart-shaped hill.","https://upload.wikimedia.org/wikipedia/commons/2/25/Tashiding_Monastery_in_Sikkim.jpg",27.2452,88.2865,"","It is believed that a single glimpse of this monastery can cleanse all sins. The monastery is famous for the Bhumchu festival, a sacred water ceremony that draws devotees from all over.",audio/tashiding.mp3
104,Enchey Monastery,20th Century,"An important seat of the Nyingma order, this 200-year-old monastery is located in the capital city, Gangtok.","https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Enchey_Monastery_Gangtok_Sikkim.jpg/1024px-Enchey_Monastery_Gangtok_Sikkim.jpg",27.3435,88.6186,"http://googleusercontent.com/maps.google.com/e","The name 'Enchey' means 'the solitary temple'. The monastery is believed to be blessed by the protective deity, Khangchendzonga, making it a significant place of worship.",audio/enchey.mp3
105,Ralang Monastery,18th Century,"Known for its impressive collection of paintings and thangkas, it is one of the most significant monasteries of the Kagyu school.","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/8f/64/9f/ralong-monastery-view.jpg?w=900&h=-1&s=1",27.3188,88.3758,"","Rebuilt in 1995, the new Ralang Monastery is a magnificent structure. It hosts the Pang Lhabsol festival and the traditional Mahakala dance, attracting numerous tourists and pilgrims.",audio/ralang.mp3
106,Dubdi Monastery,18th Century,"Also known as the Yuksom Monastery, it is considered the oldest monastery in Sikkim, established in 1701.","https://upload.wikimedia.org/wikipedia/commons/e/e6/Dubdi_Monastery_01.jpg",27.3686,88.2239,"","Dubdi translates to 'the retreat'. This serene monastery is a significant historical site as it's connected to the coronation of the first Chogyal (king) of Sikkim.",audio/dubdi.mp3
107,Sangachoeling Monastery,17th Century,"Established in the 17th century by Lama Lhatsun Chempo, it is one of the oldest monasteries in the state.","https://upload.wikimedia.org/wikipedia/commons/3/36/Sanga_Choling_Monastery_01.jpg",27.3050,88.2450,"","The name means 'island of the secret spell'. Located on a high ridge opposite Pemayangtse, it offers stunning views and houses ancient statues, paintings, and scriptures.",audio/sangachoeling.mp3
108,Phensang Monastery,18th Century,"Home to around 300 monks of the Nyingmapa order, it is one of the largest monasteries in Sikkim.","https://upload.wikimedia.org/wikipedia/commons/5/53/Phensang_Monastery_Sikkim_India.jpg",27.4244,88.5833,"","The monastery was established in 1721 by Lama Jigme Pawo. Although damaged by a fire in 1947, it was rebuilt quickly and stands today as a testament to the faith of its followers.",audio/phensang.mp3
109,Phodong Monastery,18th Century,"A major monastery of the Kagyu school of Tibetan Buddhism, it houses beautiful murals and ancient religious artifacts.","https://upload.wikimedia.org/wikipedia/commons/a/a2/Phodong_Monastery_Sikkim_India_02.jpg",27.4277,88.6086,"http://googleusercontent.com/maps.google.com/f","The monastery was founded by the 4th Chogyal Gyurmed Namgyal. It has a similar architectural design to the Rumtek Monastery and is a significant center for Buddhist learning.",audio/phodong.mp3
110,Lingdum Monastery (Ranka),20th Century,"Also known as Ranka Monastery, it is a relatively new but vast and spectacular complex spread over a large area.","https://upload.wikimedia.org/wikipedia/commons/3/34/Lingdum_Monastery_01.jpg",27.3235,88.5630,"http://googleusercontent.com/maps.google.com/g","Following the traditional Tibetan architectural style, Lingdum is a major tourist attraction. It maintains a monastic school and serves as a peaceful retreat for monks and visitors.",audio/lingdum.mp3
111,Tsuklakhang Palace,19th Century,"This was the royal monastery for the Chogyal dynasty and was the main center for coronations and royal marriages.","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Tsuklakhang_Palace_Monastery_01.jpg/1024px-Tsuklakhang_Palace_Monastery_01.jpg",27.3288,88.6146,"","Located within the palace grounds in Gangtok, it houses an extensive collection of Buddhist scriptures. The monastery is a beautiful example of traditional Sikkimese architecture.",audio/tsuklakhang.mp3
112,Kartok Monastery,18th Century,"One of the three major monasteries of the Nyingma school in Sikkim, located in the historic town of Yuksom.","https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Kartok_Lake_and_Monastery_Yuksom_Sikkim_22102013.jpg/1024px-Kartok_Lake_and_Monastery_Yuksom_Sikkim_22102013.jpg",27.3711,88.2255,"","This serene monastery, with the holy Kartok lake in front, is an important pilgrimage site. It is named after a lama who was one of the three who consecrated the first king of Sikkim.",audio/kartok.mp3